vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
CO	CO	Math	1	1	Level 1	0	297	0
CO	CO	Math	1	2	Level 2	298	381	0
CO	CO	Math	1	3	Level 3	382	448	0
CO	CO	Math	1	4	Level 4	449	569	0
CO	CO	Math	1	5	Level 5	570	1400	0
CO	CO	Math	2	1	Level 1	0	422	0
CO	CO	Math	2	2	Level 2	423	497	0
CO	CO	Math	2	3	Level 3	498	557	0
CO	CO	Math	2	4	Level 4	558	659	0
CO	CO	Math	2	5	Level 5	660	1400	0
CO	CO	Math	3	1	Level 1	0	503	1
CO	CO	Math	3	2	Level 2	504	588	1
CO	CO	Math	3	3	Level 3	589	648	1
CO	CO	Math	3	4	Level 4	649	742	1
CO	CO	Math	3	5	Level 5	743	1400	1
CO	CO	Math	4	1	Level 1	0	561	1
CO	CO	Math	4	2	Level 2	562	661	1
