vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AZ	AZ	Reading	8	4	Exceeds Standard	1271	1400	1
AZ	AZ	Reading	9	1	Far Below Standard	0	529	0
AZ	AZ	Reading	9	2	Approaches Standard	530	733	0
AZ	AZ	Reading	9	3	Meets Standard	734	1311	0
AZ	AZ	Reading	9	4	Exceeds Standard	1312	1400	0
AZ	AZ	Reading	10	1	Far Below Standard	0	547	0
AZ	AZ	Reading	10	2	Approaches Standard	548	778	0
AZ	AZ	Reading	10	3	Meets Standard	779	1322	0
AZ	AZ	Reading	10	4	Exceeds Standard	1323	1400	0
AZ	AZ	Reading	11	1	Far Below Standard	0	571	0
AZ	AZ	Reading	11	2	Approaches Standard	572	821	0
AZ	AZ	Reading	11	3	Meets Standard	822	1327	0
AZ	AZ	Reading	11	4	Exceeds Standard	1328	1400	0
AZ	AZ	Reading	12	1	Far Below Standard	0	584	0
AZ	AZ	Reading	12	2	Approaches Standard	585	855	0
AZ	AZ	Reading	12	3	Meets Standard	856	1339	0
AZ	AZ	Reading	12	4	Exceeds Standard	1340	1400	0
CA	CA	Math	1	1	Far Below Basic	0	235	0
CA	CA	Math	1	2	Below Basic	236	335	0
CA	CA	Math	1	3	Basic	336	398	0
CA	CA	Math	1	4	Proficient	399	465	0
CA	CA	Math	1	5	Advanced	466	1400	0
CA	CA	Math	2	1	Far Below Basic	0	353	1
CA	CA	Math	2	2	Below Basic	354	456	1
CA	CA	Math	2	3	Basic	457	511	1
CA	CA	Math	2	4	Proficient	512	567	1
CA	CA	Math	2	5	Advanced	568	1400	1
CA	CA	Math	3	1	Far Below Basic	0	419	1
CA	CA	Math	3	2	Below Basic	420	527	1
CA	CA	Math	3	3	Basic	528	593	1
CA	CA	Math	3	4	Proficient	594	649	1
CA	CA	Math	3	5	Advanced	650	1400	1
CA	CA	Math	4	1	Far Below Basic	0	433	1
CA	CA	Math	4	2	Below Basic	434	571	1
CA	CA	Math	4	3	Basic	572	646	1
CA	CA	Math	4	4	Proficient	647	715	1
CA	CA	Math	4	5	Advanced	716	1400	1
CA	CA	Math	5	1	Far Below Basic	0	556	1
CA	CA	Math	5	2	Below Basic	557	663	1
CA	CA	Math	5	3	Basic	664	731	1
CA	CA	Math	5	4	Proficient	732	803	1
CA	CA	Math	5	5	Advanced	804	1400	1
CA	CA	Math	6	1	Far Below Basic	0	576	1
CA	CA	Math	6	2	Below Basic	577	704	1
CA	CA	Math	6	3	Basic	705	790	1
CA	CA	Math	6	4	Proficient	791	863	1
CA	CA	Math	6	5	Advanced	864	1400	1
CA	CA	Math	7	1	Far Below Basic	0	591	0
CA	CA	Math	7	2	Below Basic	592	715	0
CA	CA	Math	7	3	Basic	716	817	0
CA	CA	Math	7	4	Proficient	818	904	0
CA	CA	Math	7	5	Advanced	905	1400	0
CA	CA	Math	8	1	Far Below Basic	0	611	0
CA	CA	Math	8	2	Below Basic	612	744	0
CA	CA	Math	8	3	Basic	745	849	0
CA	CA	Math	8	4	Proficient	850	946	0
CA	CA	Math	8	5	Advanced	947	1400	0
CA	CA	Math	9	1	Far Below Basic	0	628	0
CA	CA	Math	9	2	Below Basic	629	754	0
CA	CA	Math	9	3	Basic	755	849	0
CA	CA	Math	9	4	Proficient	850	952	0
CA	CA	Math	9	5	Advanced	953	1400	0
CA	CA	Math	10	1	Far Below Basic	0	630	0
CA	CA	Math	10	2	Below Basic	631	757	0
CA	CA	Math	10	3	Basic	758	853	0
CA	CA	Math	10	4	Proficient	854	958	0
CA	CA	Math	10	5	Advanced	959	1400	0
CA	CA	Math	11	1	Far Below Basic	0	647	0
CA	CA	Math	11	2	Below Basic	648	770	0
CA	CA	Math	11	3	Basic	771	867	0
CA	CA	Math	11	4	Proficient	868	975	0
CA	CA	Math	11	5	Advanced	976	1400	0
CA	CA	Math	12	1	Far Below Basic	0	662	0
CA	CA	Math	12	2	Below Basic	663	786	0
CA	CA	Math	12	3	Basic	787	883	0
CA	CA	Math	12	4	Proficient	884	987	0
CA	CA	Math	12	5	Advanced	988	1400	0
CA	CA	Reading	1	1	Far Below Basic	0	73	0
CA	CA	Reading	1	2	Below Basic	74	83	0
CA	CA	Reading	1	3	Basic	84	130	0
CA	CA	Reading	1	4	Proficient	131	245	0
CA	CA	Reading	1	5	Advanced	246	1400	0
CA	CA	Reading	2	1	Far Below Basic	0	124	1
CA	CA	Reading	2	2	Below Basic	125	195	1
CA	CA	Reading	2	3	Basic	196	293	1
CA	CA	Reading	2	4	Proficient	294	406	1
CA	CA	Reading	2	5	Advanced	407	1400	1
CA	CA	Reading	3	1	Far Below Basic	0	210	1
CA	CA	Reading	3	2	Below Basic	211	308	1
CA	CA	Reading	3	3	Basic	309	422	1
CA	CA	Reading	3	4	Proficient	423	541	1
CA	CA	Reading	3	5	Advanced	542	1400	1
CA	CA	Reading	4	1	Far Below Basic	0	196	1
CA	CA	Reading	4	2	Below Basic	197	308	1
CA	CA	Reading	4	3	Basic	309	439	1
CA	CA	Reading	4	4	Proficient	440	548	1
CA	CA	Reading	4	5	Advanced	549	1400	1
CA	CA	Reading	5	1	Far Below Basic	0	261	1
CA	CA	Reading	5	2	Below Basic	262	387	1
CA	CA	Reading	5	3	Basic	388	535	1
CA	CA	Reading	5	4	Proficient	536	718	1
CA	CA	Reading	5	5	Advanced	719	1400	1
CA	CA	Reading	6	1	Far Below Basic	0	314	1
CA	CA	Reading	6	2	Below Basic	315	441	1
CA	CA	Reading	6	3	Basic	442	612	1
CA	CA	Reading	6	4	Proficient	613	852	1
CA	CA	Reading	6	5	Advanced	853	1400	1
CA	CA	Reading	7	1	Far Below Basic	0	351	1
CA	CA	Reading	7	2	Below Basic	352	480	1
CA	CA	Reading	7	3	Basic	481	653	1
CA	CA	Reading	7	4	Proficient	654	943	1
CA	CA	Reading	7	5	Advanced	944	1400	1
CA	CA	Reading	8	1	Far Below Basic	0	400	1
CA	CA	Reading	8	2	Below Basic	401	539	1
CA	CA	Reading	8	3	Basic	540	764	1
CA	CA	Reading	8	4	Proficient	765	1037	1
CA	CA	Reading	8	5	Advanced	1038	1400	1
CA	CA	Reading	9	1	Far Below Basic	0	376	1
CA	CA	Reading	9	2	Below Basic	377	559	1
CA	CA	Reading	9	3	Basic	560	788	1
CA	CA	Reading	9	4	Proficient	789	1102	1
CA	CA	Reading	9	5	Advanced	1103	1400	1
CA	CA	Reading	10	1	Far Below Basic	0	477	1
CA	CA	Reading	10	2	Below Basic	478	658	1
CA	CA	Reading	10	3	Basic	659	954	1
CA	CA	Reading	10	4	Proficient	955	1250	1
CA	CA	Reading	10	5	Advanced	1251	1400	1
CA	CA	Reading	11	1	Far Below Basic	0	625	1
CA	CA	Reading	11	2	Below Basic	626	829	1
CA	CA	Reading	11	3	Basic	830	1112	1
CA	CA	Reading	11	4	Proficient	1113	1333	1
CA	CA	Reading	11	5	Advanced	1334	1400	1
CA	CA	Reading	12	1	Far Below Basic	0	645	0
CA	CA	Reading	12	2	Below Basic	646	869	0
CA	CA	Reading	12	3	Basic	870	1178	0
CA	CA	Reading	12	4	Proficient	1179	1342	0
CA	CA	Reading	12	5	Advanced	1343	1400	0
CO	CO	Math	1	1	Unsatifactory	0	274	0
CO	CO	Math	1	2	Partially Proficient	275	354	0
CO	CO	Math	1	3	Proficient	355	442	0
CO	CO	Math	1	4	Advanced	443	1400	0
CO	CO	Math	2	1	Unsatifactory	0	398	0
CO	CO	Math	2	2	Partially Proficient	399	471	0
CO	CO	Math	2	3	Proficient	472	553	0
CO	CO	Math	2	4	Advanced	554	1400	0
CO	CO	Math	3	1	Unsatifactory	0	468	1
CO	CO	Math	3	2	Partially Proficient	469	562	1
CO	CO	Math	3	3	Proficient	563	647	1
CO	CO	Math	3	4	Advanced	648	1400	1
CO	CO	Math	4	1	Unsatifactory	0	540	1
CO	CO	Math	4	2	Partially Proficient	541	627	1
CO	CO	Math	4	3	Proficient	628	724	1
CO	CO	Math	4	4	Advanced	725	1400	1
CO	CO	Math	5	1	Unsatifactory	0	595	1
CO	CO	Math	5	2	Partially Proficient	596	706	1
CO	CO	Math	5	3	Proficient	707	787	1
CO	CO	Math	5	4	Advanced	788	1400	1
CO	CO	Math	6	1	Unsatifactory	0	637	1
CO	CO	Math	6	2	Partially Proficient	638	748	1
CO	CO	Math	6	3	Proficient	749	837	1
CO	CO	Math	6	4	Advanced	838	1400	1
CO	CO	Math	7	1	Unsatifactory	0	679	1
CO	CO	Math	7	2	Partially Proficient	680	790	1
CO	CO	Math	7	3	Proficient	791	853	1
CO	CO	Math	7	4	Advanced	854	1400	1
CO	CO	Math	8	1	Unsatifactory	0	731	1
CO	CO	Math	8	2	Partially Proficient	732	818	1
CO	CO	Math	8	3	Proficient	819	880	1
CO	CO	Math	8	4	Advanced	881	1400	1
CO	CO	Math	9	1	Unsatifactory	0	744	0
CO	CO	Math	9	2	Partially Proficient	745	825	0
CO	CO	Math	9	3	Proficient	826	885	0
CO	CO	Math	9	4	Advanced	886	1400	0
CO	CO	Math	10	1	Unsatifactory	0	747	0
CO	CO	Math	10	2	Partially Proficient	748	829	0
