CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinSS,MaxSS,MinRasch,MaxRasch,Linked,ProficiencyFlag
AR,AR,AR,MATHEMATICS,8,2,Close,777,848,1.507,2.421,1,-1
AR,AR,AR,MATHEMATICS,9,2,Close,840,883,2.307,2.865,1,-1
AR,AR,AR,MATHEMATICS,10,2,Close,878,918,2.789,3.31,1,-1
AR,AR,AR,MATHEMATICS,11,2,Close,893,934,2.98,3.513,0,-1
AR,AR,AR,MATHEMATICS,12,2,Close,905,940,3.132,3.589,0,-1
AR,AR,AR,MATHEMATICS,1,3,Ready,391,486,-3.394,-2.175,0,0
AR,AR,AR,MATHEMATICS,2,3,Ready,506,592,-1.934,-0.829,0,0
AR,AR,AR,MATHEMATICS,3,3,Ready,596,678,-0.791,0.262,1,0
AR,AR,AR,MATHEMATICS,4,3,Ready,676,773,0.224,1.469,1,0
AR,AR,AR,MATHEMATICS,5,3,Ready,740,827,1.037,2.154,1,0
AR,AR,AR,MATHEMATICS,6,3,Ready,765,845,1.354,2.383,1,0
AR,AR,AR,MATHEMATICS,7,3,Ready,819,878,2.04,2.802,1,0
AR,AR,AR,MATHEMATICS,8,3,Ready,849,899,2.421,3.068,1,0
AR,AR,AR,MATHEMATICS,9,3,Ready,884,920,2.865,3.335,1,0
AR,AR,AR,MATHEMATICS,10,3,Ready,919,965,3.31,3.906,1,0
AR,AR,AR,MATHEMATICS,11,3,Ready,935,980,3.513,4.097,0,0
AR,AR,AR,MATHEMATICS,12,3,Ready,941,995,3.589,4.287,0,0
AR,AR,AR,MATHEMATICS,1,4,Exceeding,487,1400,-2.175,999.999,0,1
AR,AR,AR,MATHEMATICS,2,4,Exceeding,593,1400,-0.829,999.999,0,1
AR,AR,AR,MATHEMATICS,3,4,Exceeding,679,1400,0.262,999.999,1,1
AR,AR,AR,MATHEMATICS,4,4,Exceeding,774,1400,1.469,999.999,1,1
AR,AR,AR,MATHEMATICS,5,4,Exceeding,828,1400,2.154,999.999,1,1
AR,AR,AR,MATHEMATICS,6,4,Exceeding,846,1400,2.383,999.999,1,1
AR,AR,AR,MATHEMATICS,7,4,Exceeding,879,1400,2.802,999.999,1,1
AR,AR,AR,MATHEMATICS,8,4,Exceeding,900,1400,3.068,999.999,1,1
AR,AR,AR,MATHEMATICS,9,4,Exceeding,921,1400,3.335,999.999,1,1
AR,AR,AR,MATHEMATICS,10,4,Exceeding,966,1400,3.906,999.999,1,1
AR,AR,AR,MATHEMATICS,11,4,Exceeding,981,1400,4.097,999.999,0,1
AR,AR,AR,MATHEMATICS,12,4,Exceeding,996,1400,4.287,999.999,0,1
AZ,AZ,AZ,READING,1,1,Minimally Proficient,0,97,-999.999,-3.231,0,-1
AZ,AZ,AZ,READING,2,1,Minimally Proficient,0,270,-999.999,-1.0495,0,-1
AZ,AZ,AZ,READING,3,1,Minimally Proficient,0,386,-999.999,0.218,1,-1
AZ,AZ,AZ,READING,4,1,Minimally Proficient,0,449,-999.999,0.76,1,-1
AZ,AZ,AZ,READING,5,1,Minimally Proficient,0,480,-999.999,1.088,1,-1
AZ,AZ,AZ,READING,6,1,Minimally Proficient,0,584,-999.999,1.897,1,-1
AZ,AZ,AZ,READING,7,1,Minimally Proficient,0,633,-999.999,2.222,1,-1
AZ,AZ,AZ,READING,8,1,Minimally Proficient,0,773,-999.999,2.8895,1,-1
AZ,AZ,AZ,READING,9,1,Minimally Proficient,0,858,-999.999,3.2655,0,-1
AZ,AZ,AZ,READING,10,1,Minimally Proficient,0,898,-999.999,3.451,0,-1
AZ,AZ,AZ,READING,11,1,Minimally Proficient,0,916,-999.999,3.5895,0,-1
AZ,AZ,AZ,READING,12,1,Minimally Proficient,0,957,-999.999,3.778,0,-1
AZ,AZ,AZ,READING,1,2,Partially Proficient,98,125,-3.231,-2.769,0,-1
AZ,AZ,AZ,READING,2,2,Partially Proficient,271,314,-1.0495,-0.556,0,-1
AZ,AZ,AZ,READING,3,2,Partially Proficient,387,440,0.218,0.673,1,-1
AZ,AZ,AZ,READING,4,2,Partially Proficient,450,510,0.76,1.3285,1,-1
AZ,AZ,AZ,READING,5,2,Partially Proficient,481,595,1.088,1.978,1,-1
AZ,AZ,AZ,READING,6,2,Partially Proficient,585,731,1.897,2.757,1,-1
AZ,AZ,AZ,READING,7,2,Partially Proficient,634,785,2.222,2.9435,1,-1
AZ,AZ,AZ,READING,8,2,Partially Proficient,774,970,2.8895,3.843,1,-1
AZ,AZ,AZ,READING,9,2,Partially Proficient,859,1073,3.2655,4.1515,0,-1
