CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinRasch,MaxRasch,Linked,ProficiencyFlag
US,CO,CO,READING,9,1,Did Not Yet Meet Expectations,-999.9999,1.5435,0,-1
US,CO,CO,READING,9,2,Partially Met Expectations,1.5435,2.5917,0,-1
US,CO,CO,READING,9,3,Approached Expectations,2.5917,3.6632,0,-1
US,CO,CO,READING,9,4,Met Expectations,3.6632,5.1074,0,0
US,CO,CO,READING,9,5,Exceeded Expectations,5.1074,999.9999,0,1
US,CT,CT,READING,1,1,Level 1,-999.999,-3.4325,0,-1
US,CT,CT,READING,1,2,Level 2,-3.4325,-2.3095,0,-1
US,CT,CT,READING,1,3,Level 3,-2.3095,-1.307,0,0
US,CT,CT,READING,1,4,Level 4,-1.307,999.999,0,1
US,CT,CT,READING,10,1,Level 1,-999.9999,2.0792,0,-1
US,CT,CT,READING,10,2,Level 2,2.0792,3.407,0,-1
US,CT,CT,READING,10,3,Level 3,3.407,4.8745,0,0
US,CT,CT,READING,10,4,Level 4,4.8745,999.9999,0,1
US,CT,CT,READING,11,1,Level 1,-999.999,2.2656,1,-1
US,CT,CT,READING,11,2,Level 2,2.2656,3.5933,1,-1
US,CT,CT,READING,11,3,Level 3,3.5933,4.9444,1,0
US,CT,CT,READING,11,4,Level 4,4.9444,999.9999,1,1
US,CT,CT,READING,12,1,Level 1,-999.9999,2.2889,0,-1
US,CT,CT,READING,12,2,Level 2,2.2889,3.7331,0,-1
US,CT,CT,READING,12,3,Level 3,3.7331,5.1074,0,0
US,CT,CT,READING,12,4,Level 4,5.1074,999.9999,0,1
US,CT,CT,READING,2,1,Level 1,-999.999,-1.499,0,-1
US,CT,CT,READING,2,2,Level 2,-1.499,-0.3105,0,-1
US,CT,CT,READING,2,3,Level 3,-0.3105,0.6355,0,0
US,CT,CT,READING,2,4,Level 4,0.6355,999.999,0,1
US,CT,CT,READING,3,1,Level 1,-999.999,-0.362,1,-1
US,CT,CT,READING,3,2,Level 2,-0.362,0.816,1,-1
US,CT,CT,READING,3,3,Level 3,0.816,1.731,1,0
US,CT,CT,READING,3,4,Level 4,1.731,999.999,1,1
US,CT,CT,READING,4,1,Level 1,-999.999,0.628,1,-1
US,CT,CT,READING,4,2,Level 2,0.628,1.4965,1,-1
US,CT,CT,READING,4,3,Level 3,1.4965,2.3875,1,0
US,CT,CT,READING,4,4,Level 4,2.3875,999.999,1,1
US,CT,CT,READING,5,1,Level 1,-999.999,1.1095,1,-1
US,CT,CT,READING,5,2,Level 2,1.1095,1.999,1,-1
US,CT,CT,READING,5,3,Level 3,1.999,3.23,1,0
US,CT,CT,READING,5,4,Level 4,3.23,999.999,1,1
US,CT,CT,READING,6,1,Level 1,-999.999,1.245,1,-1
US,CT,CT,READING,6,2,Level 2,1.245,2.5595,1,-1
US,CT,CT,READING,6,3,Level 3,2.5595,3.99,1,0
US,CT,CT,READING,6,4,Level 4,3.99,999.999,1,1
US,CT,CT,READING,7,1,Level 1,-999.999,1.8405,1,-1
US,CT,CT,READING,7,2,Level 2,1.8405,2.885,1,-1
US,CT,CT,READING,7,3,Level 3,2.885,4.4395,1,0
US,CT,CT,READING,7,4,Level 4,4.4395,999.999,1,1
US,CT,CT,READING,8,1,Level 1,-999.999,1.937,1,-1
US,CT,CT,READING,8,2,Level 2,1.937,3.2605,1,-1
US,CT,CT,READING,8,3,Level 3,3.2605,4.828,1,0
US,CT,CT,READING,8,4,Level 4,4.828,999.999,1,1
US,CT,CT,READING,9,1,Level 1,-999.9999,1.9628,0,-1
US,CT,CT,READING,9,2,Level 2,1.9628,3.2672,0,-1
US,CT,CT,READING,9,3,Level 3,3.2672,4.8512,0,0
US,CT,CT,READING,9,4,Level 4,4.8512,999.9999,0,1
US,DC,DC,READING,1,1,Level 1,-999.999,-3.741,0,-1
US,DC,DC,READING,1,2,Level 2,-3.741,-2.681,0,-1
US,DC,DC,READING,1,3,Level 3,-2.681,-1.721,0,-1
US,DC,DC,READING,1,4,Level 4,-1.721,0.8865,0,0
US,DC,DC,READING,1,5,Level 5,0.8865,999.999,0,1
US,DC,DC,READING,10,1,Level 1,-999.999,2.5255,1,-1
US,DC,DC,READING,10,2,Level 2,2.5255,3.4635,1,-1
US,DC,DC,READING,10,3,Level 3,3.4635,4.156,1,-1
US,DC,DC,READING,10,4,Level 4,4.156,5.458,1,0
US,DC,DC,READING,10,5,Level 5,5.458,999.999,1,1
US,DC,DC,READING,11,1,Level 1,-999.999,2.6765,0,-1
US,DC,DC,READING,11,2,Level 2,2.6765,3.621,0,-1
US,DC,DC,READING,11,3,Level 3,3.621,4.3085,0,-1
US,DC,DC,READING,11,4,Level 4,4.3085,5.539,0,0
US,DC,DC,READING,11,5,Level 5,5.539,999.999,0,1
US,DC,DC,READING,12,1,Level 1,-999.999,2.8465,0,-1
US,DC,DC,READING,12,2,Level 2,2.8465,3.83,0,-1
US,DC,DC,READING,12,3,Level 3,3.83,4.546,0,-1
US,DC,DC,READING,12,4,Level 4,4.546,5.845,0,0
US,DC,DC,READING,12,5,Level 5,5.845,999.999,0,1
US,DC,DC,READING,2,1,Level 1,-999.999,-1.855,0,-1
US,DC,DC,READING,2,2,Level 2,-1.855,-0.688,0,-1
US,DC,DC,READING,2,3,Level 3,-0.688,0.2575,0,-1
US,DC,DC,READING,2,4,Level 4,0.2575,2.376,0,0
US,DC,DC,READING,2,5,Level 5,2.376,999.999,0,1
US,DC,DC,READING,3,1,Level 1,-999.999,-0.669,1,-1
US,DC,DC,READING,3,2,Level 2,-0.669,0.449,1,-1
US,DC,DC,READING,3,3,Level 3,0.449,1.351,1,-1
US,DC,DC,READING,3,4,Level 4,1.351,3.634,1,0
US,DC,DC,READING,3,5,Level 5,3.634,999.999,1,1
US,DC,DC,READING,4,1,Level 1,-999.999,-0.342,1,-1
US,DC,DC,READING,4,2,Level 2,-0.342,0.683,1,-1
